SR NO,WORD,MEANING,BREIF,VERB,NOUN,ADJECTIVE,DETERMINER,ADVERB,PRONOUN,PERPOSITION,CONJUNCTION,INTERJECTION
1,stupendous,"so great in size, force, or extent as to elicit awe",Stupendous means amazing or awesome. You just won a million dollars and are donating it to charity? That’s stupendous!,,,so great in size or force or extent as to elicit awe,,,,,,,
2,ersatz,an artificial or inferior substitute or imitation,"The ersatz version of something is an inferior substitute or imitation. You might speak in an ersatz French accent, but you won't fool the Parisian who runs the local French bakery.",,an artificial or inferior substitute or imitation,artificial and inferior,,,,,,,
3,admonish,scold or reprimand; take to task,"To admonish is to scold. If you want to show someone you're not happy with his behavior, admonish him.",warn strongly; put on guard,,,,,,,,,
,,,,take to task,,,,,,,,,
,,,,admonish or counsel in terms of someone's behavior,,,,,,,,,
4,tyro,someone new to a field or activity,"A tyro is a beginner, a new recruit, or someone who is just learning something. If you are the new guy at the job and you're wearing a big badge that says ""Trainee"" on it, you are a tyro.",,someone new to a field or activity,,,,,,,,
5,aphrodisiac,a drug or other agent that stimulates sexual desire,An aphrodisiac is a drug (or something else) that puts people in the mood for sex.,,a drug or other agent that stimulates sexual desire,exciting sexual desire,,,,,,,
6,besmirch,smear so as to make dirty or stained,"To besmirch means to dirty or tarnish, particularly someone's reputation — like when you call Billy a cheater at kickball (even though you know he's just better at bunting than you).",charge falsely or with malicious intent; attack the good name and reputation of someone,,,,,,,,,
,,,,smear so as to make dirty or stained,,,,,,,,,
7,panacea,hypothetical remedy for all ills or diseases,"If someone offers you a pill that promises eternal life, don’t take the pill.  It’s a panacea, a remedy that falsely claims to solve every problem ever.",,hypothetical remedy for all ills or diseases; once sought by the alchemists,,,,,,,,
8,epithet,descriptive word or phrase,"The noun epithet is a descriptive nickname, such as ""Richard the Lionhearted,"" or ""Tommy the Terrible."" When it takes a turn for the worse, it can also be a word or phrase that offends.",,a defamatory or abusive word or phrase,,,,,,,,
,,,,,descriptive word or phrase,,,,,,,,
9,ostracize,expel from a community or group,"If you banish someone or ignore him, you ostracize him. When the Iranian president claimed that the Holocaust was a hoax, he was ostracized by the international community.",avoid speaking to or dealing with,,,,,,,,,
,,,,expel from a community or group,,,,,,,,,
10,placebo,an innocuous or inert medication,"A patient's symptoms sometimes disappear just because they believe that they are being treated. Even when doctors give them a biologically inactive drug, otherwise known as a placebo, the patients swear they are cured.",,(Roman Catholic Church) vespers of the office for the dead,,,,,,,,
,,,,,an innocuous or inert medication; given as a pacifier or to the control group in experiments on the efficacy of a drug,,,,,,,,
11,fiasco,a complete failure or collapse,A fiasco is a disaster. It's not a natural disaster — like an earthquake or a volcano; a fiasco is usually the result of human failure.,,a complete failure or collapse,,,,,,,,
12,dichotomy,a classification into two opposed parts or subclasses,"A dichotomy is an idea or classification split in two. When you point out a dichotomy, you draw a clear distinction between two things.",,being twofold; a classification into two opposed parts or subclasses,,,,,,,,
13,coterie,an exclusive circle of people with a common purpose,"Have you noticed how so many of the best TV shows concentrate on a group of friends who seem to mesh together perfectly, to the exclusion of all others? This, then, is a coterie, an exclusive group with common interests.",,an exclusive circle of people with a common purpose,,,,,,,,
14,euphemism,an inoffensive expression substituted for an offensive one,"Pardon me, but when a polite term is substituted for a blunt, offensive one, you should call it a euphemism.",,an inoffensive or indirect expression that is substituted for one that is considered offensive or too harsh,,,,,,,,
15,zealot,a fervent and even militant proponent of something,"The hamburger zealot was so fanatical about his burgers that he camped outside his favorite fast-food joint for hours every morning, waiting for it to open. And he would never put mustard on them, only ketchup.",,a fervent and even militant proponent of something,,,,,,,,
16,mesmerize,"attract strongly, as if with a magnet","You meet someone and you can’t take your eyes off them, like you are connected by an invisible cord and can’t break free.  Those kinds of people have the power to mesmerize, holding your attention like you’re under hypnosis.",induce hypnosis in,,,,,,,,,
,,,,"attract strongly, as if with a magnet",,,,,,,,,
17,paragon,a perfect embodiment of a concept,"Paragon applies to someone who is a model of perfection in some quality or trait. We link paragon with other words that follow it, such as ""paragon of virtue"" or ""paragon of patience.""",,model of excellence or perfection of a kind; one having no equal,,,,,,,,
,,,,,an ideal instance; a perfect embodiment of a concept,,,,,,,,
18,dilettante,an amateur engaging in an activity without serious intention,"Though dilettante might sound like a nice French word, don't use it on your friend who thinks he can play the guitar after several short lessons. A dilettante is an amateur, often one who pretends to be very knowledgeable.",,an amateur who engages in an activity without serious intentions and who pretends to have knowledge,showing frivolous or superficial interest; amateurish,,,,,,,
19,hyperbole,extravagant exaggeration,"Praising your favorite sports team is one thing, but if you call the team the most incredible group of humans ever to walk the earth, then you're going overboard and indulging in hyperbole.",,extravagant exaggeration,,,,,,,,
20,extravagant,recklessly wasteful,"Extravagant is an adjective that means expensive, excessive, and over the top. A modest chandelier in your dining room is normal. But crystal-studded walls and gold-plated goblets? That's a bit extravagant.",,,"unrestrained, especially with regard to feelings",,,,,,,
,,,,,,recklessly wasteful,,,,,,,
,,,,,,extremely or unreasonably high in price,,,,,,,
,,,,,,greatly exceeding bounds of reason or moderation,,,,,,,
21,pedant,a person who pays too much attention to formal rules,"A pedant is an annoying person who is focused on minor details and book knowledge rather than ordinary common sense. In war, it can be dangerous to have a pedant as commander — he'll insist on textbook maneuvers instead of adapting to circumstances on the ground.",,a person who pays more attention to formal rules and book learning than they merit,,,,,,,,
22,apotheosis,model of excellence or perfection of a kind,"If your teacher says the term paper you handed in last week is a work of genius that sets a new gold standard for the school, he's telling you your work is the apotheosis of term papers. The epitome. Perfection.",,the elevation of a person (as to the status of a god),,,,,,,,
,,,,,model of excellence or perfection of a kind; one having no equal,,,,,,,,
23,sycophant,a person who tries to please someone to gain an advantage,"A sycophant is a person who tries to win favor from wealthy or influential people by flattering them. Also known as brown-nosers, teacher's pets or suck-ups.",,a person who tries to please someone in order to gain a personal advantage,,,,,,,,
24,dogma,a doctrine or code of beliefs accepted as authoritative,Dogma means the doctrine of belief in a religion or a political system.,,a religious doctrine that is proclaimed as true without proof,,,,,,,,
,,,,,a doctrine or code of beliefs accepted as authoritative,,,,,,,,
25,misanthrope,someone who dislikes people in general,"A misanthrope is a person who hates or mistrusts other people. Your great aunt Edna who lashes out at anyone who approaches, convinced they'll steal the jewelry she keeps in her handbag on her lap? A misanthrope indeed.",,someone who dislikes people in general,,,,,,,,
26,dissonance,disagreeable sounds,Disagreeable sounds can be called dissonance. You know it's dissonance if you have the strong desire to cover your ears with your hands.,,a conflict of people's opinions or actions or characters,,,,,,,,
,,,,,disagreeable sounds,,,,,,,,
,,,,,the auditory experience of sound that lacks musical quality; sound that is a disagreeable auditory experience,,,,,,,,
27,histrionic,overly dramatic or emotional,"Anything that has to do with actors or acting can be called  histrionic, like a Broadway actor's histrionic voice projection that would sound strange in everyday life but is perfect for the stage.",,,characteristic of acting or a stage performance; affected,,,,,,,
,,,,,,overly dramatic or emotional,,,,,,,
28,esoteric,understandable only by an enlightened inner circle,"Pssst... do you know the secret handshake? If you haven't been brought into the inner circle of those with special knowledge, esoteric things will remain a mystery to you.",,,confined to and understandable by only an enlightened inner circle,,,,,,,
29,nuance,a subtle difference in meaning or opinion or attitude,"Use nuance to refer to a very small difference in color, meaning, or feeling. What makes singers brilliant is not how loud they can sing a note, but how many nuances they can evoke through their approach.",,a subtle difference in meaning or opinion or attitude,,,,,,,,
30,aficionado,"a serious devotee of some activity, genre, or performer","If you really like something and make it your business to study up on its history and characteristics, you could be called an aficionado of that subject.",,a fan of bull fighting,,,,,,,,
,,,,,a serious devotee of some particular music genre or musical performer,,,,,,,,
31,idiosyncratic,peculiar to the individual,"Idiosyncratic means unique to an individual. Albert Einstein famously had lots of idiosyncratic habits.  For example, he rarely wore socks, and he talked to his cat.",,,peculiar to the individual,,,,,,,
32,rubric,category name,"A rubric is a heading or a category in a chart, or a rule of conduct. A teacher's grading rubrics may include participation, homework completion, tests, quizzes, and papers.",adorn with ruby red color,an explanation or definition of an obscure word in a text,,,,,,,,
33,travesty,a composition that imitates or misrepresents a style,"A travesty is a cheap mockery, usually of something or someone serious, such as a travesty of justice.",make a travesty of,"a distorted, debased, or absurd imitation of something",,,,,,,,
34,prescience,the power to foresee the future,"Do you already know what happens tomorrow? Next week? Next year? If you can see into the future, then you have prescience.",,the power to foresee the future,,,,,,,,
35,equivocate,be deliberately ambiguous or unclear,"When you are unwilling to make a decision and almost intentionally go back and forth between two choices, you are equivocating. When politicians equivocate, they are often afraid of upsetting, and thus alienating, voters with their decisions.",be deliberately ambiguous or unclear in order to mislead or withhold information,,,,,,,,,
36,vexation,anger produced by some annoying irritation,Vexation is both something that causes annoyance and the state of mind that results from being annoyed. The test-taker next to you tapping her pencil is a vexation. You breaking her pencil in half makes her feel vexation.,,the act of troubling or annoying someone,,,,,,,,
,,,,,anger produced by some annoying irritation,,,,,,,,
,,,,,the psychological state of being irritated or annoyed,,,,,,,,
,,,,,something or someone that causes anxiety; a source of unhappiness,,,,,,,,
37,obduracy,resoluteness by virtue of being unyielding and inflexible,,,resoluteness by virtue of being unyielding and inflexible,,,,,,,,
38,fiefdom,the domain controlled by a feudal lord,,,an organization that is controlled by a dominant person or group,,,,,,,,
,,,,,the domain controlled by a feudal lord,,,,,,,,
39,anachronism,locating something at a time when it couldn't have existed,"An anachronism is something that doesn't fit its time period, like if you say you'll ""dial"" your smartphone.",,a person who seems to be displaced in time; who belongs to another age,,,,,,,,
,,,,,the act of locating something at a time when it could not have existed or occurred,,,,,,,,
,,,,,an artifact that belongs to another time,,,,,,,,
40,egregious,conspicuously and outrageously bad or reprehensible,"Something that is egregious stands out, but not in a good way — it means ""really bad or offensive."" If you make an egregious error during a championship soccer match, your coach might bench you for the rest of the game.",,,conspicuously and outrageously bad or reprehensible,,,,,,,
41,profusion,the property of being extremely abundant,"If there's an abundance of something, you can say that there's a profusion of it. Hilarious and bizarre YouTube videos certainly exist in profusion.",,the property of being extremely abundant,,,,,,,,
42,acrimony,a rough and bitter manner,"Acrimony is bitterness, or ill will. Acrimony is a spiteful word. It sounds bitter, like acid.",,a rough and bitter manner,,,,,,,,
43,exacerbate,make worse,"For a formal-sounding verb that means to make worse, try exacerbate. If you're in trouble, complaining about it will only exacerbate the problem.",exasperate or irritate,,,,,,,,,
,,,,make worse,,,,,,,,,
44,curmudgeon,"an irascible, cantankerous person full of stubborn ideas","Old, cranky, and more than a little stubborn, a curmudgeon is the gruff, grey-haired neighbor who refuses to hand out candy at Halloween and shoos away holiday carolers with a ""bah humbug!""",,a crusty irascible cantankerous old person full of stubborn ideas,,,,,,,,
45,innocuous,not injurious to physical or mental health,"Something that's innocuous isn't harmful or likely to cause injury. Public figures like mayors and governors have to expect they'll get critical or even hurtful emails and phone calls, as well as more innocuous feedback.",,,not causing disapproval,,,,,,,
,,,,,,not injurious to physical or mental health,,,,,,,
,,,,,,lacking intent or capacity to injure,,,,,,,
46,anathema,a formal ecclesiastical curse accompanied by excommunication,Something that one absolutely and positively cannot stand is anathema. Garlic is anathema to vampires (ditto for stakes and daylight). So is kryptonite to Superman or a silver bullet to a werewolf.,,something that inspires dislike; something horrible,,,,,,,,
,,,,,a formal ecclesiastical curse accompanied by excommunication,,,,,,,,
,,,,,a detested person or thing,,,,,,,,
47,haughty,having or showing arrogant superiority,"Someone who is haughty is arrogant and full of pride. When you're haughty, you have a big attitude and act like you're better than other people.",,,having or showing arrogant superiority to and disdain of those one views as unworthy,,,,,,,
48,asceticism,rigorous self-denial and active self-restraint,"Asceticism is rigorous self-denial, particularly the rejection of the pleasures of the world. If you don't drink, smoke, eat sugar, see movies, use the internet, or have a cell phone, then you are already practicing a kind of asceticism.",,the doctrine that through renunciation of worldly pleasures it is possible to achieve a high spiritual or intellectual state,,,,,,,,
,,,,,rigorous self-denial and active self-restraint,,,,,,,,
,,,,,the trait of great self-denial (especially refraining from worldly pleasures),,,,,,,,
49,imprimatur,formal and explicit approval,"If you give something your imprimatur, you give it your formal support or approval. An imprimatur is a fancy version of a thumbs-up sign.",,formal and explicit approval,,,,,,,,
50,sardonic,disdainfully or ironically humorous,"If someone is being scornful and mocking in a humorous way, call her sardonic. If you want to write comic sketches for late-night talk shows, work on being sardonic.",,,disdainfully or ironically humorous; scornful and mocking,,,,,,,
51,ameliorate,make better,To ameliorate is to step in and make a bad situation better. You could try introducing a second lollipop to ameliorate a battle between two toddlers over a single lollipop.,get better,,,,,,,,,
,,,,make better,,,,,,,,,
52,turpitude,a corrupt or depraved or degenerate act or practice,"If you are guilty of turpitude, you should be ashamed of yourself. Turpitude is a word that represents depraved behavior. Prisons are filled with criminals who have engaged in acts of moral turpitude.",,a corrupt or depraved or degenerate act or practice,,,,,,,,
53,dalliance,the act of delaying and playing instead of working,"A dalliance is a playful flirtation, one that might lead to a casual romance. The king's public dalliance toward the lady in waiting shocked everyone in the court except for the queen.",,playful behavior intended to arouse romantic interest,,,,,,,,
,,,,,the deliberate act of delaying and playing instead of working,,,,,,,,
54,autodidact,a person who has taught himself,"If you're an autodidact you've done most of your learning on your own, outside of school. Having learned Greek and Latin, as well as landscape painting and auto repair, without any formal training makes you quite the autodidact.",,a person who has taught himself,,,,,,,,
55,evanescent,short-lived; tending to vanish or disappear,"A beautiful sunset, a rainbow, a wonderful dream right before your alarm clock goes off — all of these could be described as evanescent, which means “fleeting” or “temporary.”",,,tending to vanish like vapor,,,,,,,
56,interlude,an intervening period or episode,An interlude is a brief period of time that comes in the middle of something. You might enjoy a relaxing lemonade interlude in the middle of a tough day at your road-paving job.,perform an interlude,a brief show (music or dance etc) inserted between the sections of a longer performance,,,,,,,,
57,demure,"shy or modest, often in a playful or provocative way",A demure person can be described as polite and a little shy. A demure outfit is a modest one — think high neckline and low hem.,,,(used especially of clothing) suggestive of modesty or reserve,,,,,,,
,,,,,,affectedly modest or shy especially in a playful or provocative way,,,,,,,
58,mellifluous,pleasing to the ear,"Use the adjective mellifluous to describe something that sounds sweet and smooth, like the honeyed voice of a late-night radio DJ.",,,pleasing to the ear,,,,,,,
59,felicity,pleasing and appropriate manner or style,"Felicity is a state of happiness or the quality of joy. Sitting on the roof with a telescope and iced tea on a clear, starry night is one way to find perfect felicity — a happy place.",,state of well-being characterized by emotions ranging from contentment to intense joy,,,,,,,,
,,,,,pleasing and appropriate manner or style (especially manner or style of expression),,,,,,,,
60,imbroglio,an intricate and confusing interpersonal situation,"An imbroglio is a complicated or confusing personal situation. To rephrase the J. Geils band song, ""Love Stinks,"" if you love her and she loves him and he loves somebody else, you've got quite an imbroglio.",,a very embarrassing misunderstanding,,,,,,,,
,,,,,an intricate and confusing interpersonal or political situation,,,,,,,,
61,insouciance,a casual or lighthearted feeling of unconcern,"Insouciance is a feeling of careless indifference. There's a certain amount of lightheartedness in insouciance, but rather than merely being cheerful, someone with insouciance truly couldn't care less.",,the cheerful feeling you have when nothing is troubling you,,,,,,,,
62,lassitude,a feeling of lack of interest or energy,"If you are feeling lassitude, you're weary and just can't be bothered. Couch potatoes make lassitude into an art form.",,a state of comatose torpor (as found in sleeping sickness),,,,,,,,
,,,,,a feeling of lack of interest or energy,,,,,,,,
,,,,,weakness characterized by a lack of vitality or energy,,,,,,,,
63,lucid,transparently clear; easily understandable,"Something that's lucid is clear and understandable. Lucid writing is important in journalism, so that readers easily get the point of the article they're reading.",,,transmitting light; able to be seen through with clarity,,,,,,,
,,,,,,(of language) transparently clear; easily understandable,,,,,,,
,,,,,,having a clear mind,,,,,,,
,,,,,,capable of thinking and expressing yourself in a clear and consistent manner,,,,,,,
64,elysian,relating to the abode of the blessed after death,"The adjective elysian describes a blissful state, like the one most people hope to enjoy on a Hawaiian vacation.",,,being of such surpassing excellence as to suggest inspiration by the gods,,,,,,,
,,,,,,relating to the Elysian Fields,,,,,,,
65,neophyte,a participant with no experience with an activity,A neophyte is someone who's brand new at something. You're a neophyte the first time you pick up a guitar and start learning to play.,,a plant that is found in an area where it had not been recorded previously,,,,,,,,
,,,,,a participant with no experience with an activity,,,,,,,,
,,,,,a new convert being taught the principles of Christianity by a catechist,,,,,,,,
66,rapture,a state of being carried away by overwhelming emotion,Rapture is a feeling of emotional ecstasy so magical it's almost as if you've been transported to some other world.,,a state of elated bliss,,,,,,,,
,,,,,a state of being carried away by overwhelming emotion,,,,,,,,
67,evocative,serving to bring to mind,"Use the adjective evocative when you want to describe something that reminds you of something else. If your mom baked a lot when you were a kid, the smell of cookies in the oven is probably evocative of your childhood.",,,serving to bring to mind,,,,,,,
68,antipathy,a feeling of intense dislike,"An antipathy is a deep-seated dislike of something or someone. Usually it's a condition that is long-term, innate, and pretty unlikely to change — like your antipathy for the Red Sox.",,the object of a feeling of intense aversion; something to be avoided,,,,,,,,
,,,,,a feeling of intense dislike,,,,,,,,
69,affinity,a natural attraction or feeling of kinship,"If you get along with someone very well, you have an affinity with them. Sometimes opposites attract, so you might feel a strange affinity to someone who is seemingly very different from you.",,(immunology) the attraction between an antigen and an antibody,,,,,,,,
,,,,,a natural attraction or feeling of kinship,,,,,,,,
,,,,,a close connection marked by community of interests or similarity in nature or character,,,,,,,,
,,,,,(anthropology) kinship by marriage or adoption; not a blood relationship,,,,,,,,
70,empathy,understanding and entering into another's feelings,"Use empathy if you're looking for a noun meaning ""the ability to identify with another's feelings.""",,understanding and entering into another's feelings,,,,,,,,
71,anomaly,"deviation from the normal or common order, form, or rule","An anomaly is an abnormality, a blip on the screen of life that doesn’t fit with the rest of the pattern. If you are a breeder of black dogs and one puppy comes out pink, that puppy is an anomaly.",,(astronomy) position of a planet as defined by its angular distance from its perihelion (as observed from the sun),,,,,,,,
,,,,,deviation from the normal or common order or form or rule,,,,,,,,
,,,,,a person who is unusual,,,,,,,,
72,hoi polloi,the common people generally,"The hoi polloi is a way of referring to common people, and it is an elitist term usually used by people who consider themselves to be above the masses.",,the common people generally,,,,,,,,
73,paramount,more important than anything else; supreme,"To the President, protecting our nation's security is of paramount importance — it's at the very top of his to-do list.",,,having superior power or influence,,,,,,,
,,,,,,more important than anything else; supreme,,,,,,,
74,antagonize,provoke the hostility of,"To antagonize is to provoke someone to react angrily. If your mother tells you to stop antagonizing your brother, she's asking you to stop making him mad.",act in opposition to,,,,,,,,,
,,,,provoke the hostility of,,,,,,,,,
75,arrant,complete and without qualification,The word arrant intensifies. An arrant criminal is one heck of a criminal. Arrant nonsense is total nonsense.,,,without qualification; used informally as (often pejorative) intensifiers,,,,,,,
76,errant,straying from the right course or from accepted standards,Something or someone described as errant has gone astray or done wrong by going in an unexpected direction. An errant bird might end up in northern Canada while his friends fly to southern Mexico for the winter.,,,"traveling from place to place, especially in search of adventure",,,,,,,
,,,,,,straying from the right course or from accepted standards,,,,,,,
,,,,,,"moving in an uncontrolled, irregular, or unpredictable way",,,,,,,
77,adulterate,make impure by adding a foreign or inferior substance,"If you adulterate something, you mess it up. You may not want to adulterate the beauty of freshly fallen snow by shoveling it, but how else are you going to get to work?","corrupt, debase, or make impure by adding a foreign or inferior substance; often by replacing valuable ingredients with inferior ones",,mixed with impurities,,,,,,,
78,bedaze,overcome as with astonishment or disbelief,,overcome as with astonishment or disbelief,,,,,,,,,
79,craven,lacking even the rudiments of courage; abjectly fearful,"A craven man is no Superman or Spiderman, nor is he a firefighter or a soldier. A craven man is the opposite of those guys: he has not an ounce of courage.",,an abject coward,lacking even the rudiments of courage; abjectly fearful,,,,,,,
80,prevaricate,be deliberately ambiguous or unclear,"When you prevaricate, you lie or mislead. Now, go ahead and tell me whether you already knew that meaning, and don’t prevaricate about it — give me the story straight!",be deliberately ambiguous or unclear in order to mislead or withhold information,,,,,,,,,
81,gregarious,temperamentally seeking and enjoying the company of others,"If you know someone who's outgoing, sociable, and fond of the company of others, you might want to call her gregarious.",,,(of plants) growing in groups that are close together,,,,,,,
,,,,,,instinctively or temperamentally seeking and enjoying the company of others,,,,,,,
,,,,,,(of animals) tending to form a group with others of the same species,,,,,,,
82,iconoclast,someone who attacks cherished ideas or institutions,Are you always challenging the establishment? Or provoking popular thought by attacking traditions and institutions? Then you're definitely an iconoclast.,,a destroyer of images used in religious worship,,,,,,,,
,,,,,someone who attacks cherished ideas or traditional institutions,,,,,,,,
83,assail,attack someone physically or emotionally,"To assail is to attack or assault — with throwing stars, fists, words or, less tangibly but just as violently, with troubles or doubts.",launch an attack or assault on; begin hostilities or start warfare with,,,,,,,,,
,,,,attack someone physically or emotionally,,,,,,,,,
,,,,attack in speech or writing,,,,,,,,,
84,denounce,speak out against,"To denounce is to tattle, rat out, or speak out against something. When you stand on your desk and tell the class that your partner is cheating, you denounce him or her.","announce the termination of, as of treaties",,,,,,,,,
,,,,speak out against,,,,,,,,,
,,,,accuse or condemn openly or formally as disgraceful,,,,,,,,,
,,,,give away information about somebody,,,,,,,,,
85,castigate,inflict severe punishment on,"Use castigate  when you mean ""to reprimand in an especially harsh way."" If you accidentally spill coffee all over your sister's favorite sweater, you might worry that she's going to castigate you as soon as she finds out.",censure severely,,,,,,,,,
,,,,inflict severe punishment on,,,,,,,,,
86,diatribe,thunderous verbal attack,"It's pretty overwhelming when you ask your friend a seemingly innocuous question, like ""Do you like hot dogs?"" and she unleashes a diatribe about the evils of eating meat. A diatribe is an angry, critical speech.",,thunderous verbal attack,,,,,,,,
87,excoriate,express strong disapproval of,"When it comes to “telling someone off,” excoriate is reserved for the most severe cases. So, before you excoriate your little sister for borrowing your favorite jacket without permission, consider whether she truly deserves such harsh treatment.",tear or wear off the skin or make sore by abrading,,,,,,,,,
,,,,express strong disapproval of,,,,,,,,,
